173	40	94	5	77	2	123	3	9
156	27	89	12	86	3	125	0	15
147	31	94	3	62	6	132	2	15
128	13	55	9	45	0	91	3	6
68	21	54	1	40	4	59	1	5
78	6	30	0	25	4	80	5	7
56	5	21	11	32	2	51	4	3
52	2	19	1	7	4	48	11	12
45	8	24	2	25	6	52	1	5
57	4	21	0	22	1	66	0	9
41	2	10	2	22	7	51	6	3
47	7	27	0	28	4	23	0	1
35	4	14	2	14	0	36	4	2
42	2	16	14	11	0	43	2	1
33	6	26	0	7	2	28	2	4
18	4	10	0	6	0	14	0	2
8	1	5	1	9	1	21	0	1
10	0	6	15	6	0	11	2	2
16	0	3	1	3	0	4	2	1
4	0	1	3	2	0	4	0	0
2	0	0	0	1	0	2	0	0
0	0	0	0	1	0	3	0	1
1	0	1	0	0	0	5	0	0
0	0	0	1	1	1	2	0	0
0	0	0	0	0	0	2	0	0
1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0
